observed_utc,gw,source,team_abbr,opponent_abbr,status,formation,row,slot,player,short,kickoff_text
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BRE,CHE,predicted,4-2-3-1,1,1,Caoimhin Kelleher,,Friday 18 September 23:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BRE,CHE,predicted,4-2-3-1,2,2,Aaron Hickey,,Friday 18 September 23:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BRE,CHE,predicted,4-2-3-1,2,3,Jannik Schuster,,Friday 18 September 23:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BRE,CHE,predicted,4-2-3-1,2,4,K. Vassbakk Ajer,,Friday 18 September 23:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BRE,CHE,predicted,4-2-3-1,2,5,Keane Lewis-Potter,,Friday 18 September 23:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BRE,CHE,predicted,4-2-3-1,3,6,Mamadou Sangare,,Friday 18 September 23:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BRE,CHE,predicted,4-2-3-1,3,7,Vitaly Janelt,,Friday 18 September 23:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BRE,CHE,predicted,4-2-3-1,4,8,Jaidon Anthony,,Friday 18 September 23:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BRE,CHE,predicted,4-2-3-1,4,9,Yehor Yarmoliuk,,Friday 18 September 23:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BRE,CHE,predicted,4-2-3-1,4,10,Kevin Schade,,Friday 18 September 23:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BRE,CHE,predicted,4-2-3-1,5,11,Igor Thiago,,Friday 18 September 23:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,CHE,BRE,predicted,4-2-3-1,1,1,Emiliano Martinez,,Friday 18 September 23:00
