id,code,selected_by_percent,transfers_in_event,transfers_out_event,now_cost
1,154561,38.9,142535,117161,60
2,109745,0.1,218,586,49
3,437495,0.0,82,212,49
4,226597,24.7,33886,145540,80
5,445122,0.1,479,1009,65
6,462424,0.2,615,2581,59
7,499169,0.7,4865,6604,55
8,466075,47.9,290747,52701,57
9,448104,1.1,2559,12626,53
10,198869,7.6,74501,67675,55
11,500040,3.3,609,105190,54
12,223340,11.4,122808,78259,95
13,204480,13.5,17017,87162,74
14,232413,1.3,2830,19316,64
15,184029,14.2,332909,64676,66
16,248857,0.2,1139,2908,63
17,195384,0.5,1373,7090,59
18,444145,0.1,0,4964,63
19,481655,0.7,1167,7941,54
20,616077,0.1,433,914,53
22,499175,0.0,0,258,54
23,438098,0.0,0,213,55
24,200641,0.0,0,76,55
25,224117,4.0,4498,59510,73
26,219847,7.6,115449,45026,75
27,205651,0.2,0,6225,59
31,199798,13.7,325277,59608,44
452,208706,1.8,1476,24417,68
557,439509,17.2,46019,234236,64
29,72147,0.1,649,1027,45
30,101188,0.1,0,670,45
32,199796,6.7,17384,32895,45
33,149484,0.4,2074,1426,45
34,244954,0.4,1270,3425,45
35,515597,0.1,469,759,50
36,441302,0.8,6458,3597,45
37,184667,0.3,1935,1202,45
38,606798,1.7,8309,11076,40
39,578545,0.2,0,1448,40
41,195546,1.0,6317,12960,59
44,215711,0.1,0,3501,54
45,122806,2.3,8913,19639,54
46,88894,0.3,2971,2150,50
47,226944,0.3,2354,2923,50
48,449871,0.0,73,190,50
49,469247,0.0,0,16,50
50,645618,0.7,4803,5366,45
51,577285,1.2,29481,12423,45
52,653481,0.0,317,447,50
53,614071,0.1,290,1302,59
54,448089,0.0,80,359,55
55,178301,3.3,0,91704,78
56,173879,0.2,2825,1768,55
160,493105,0.4,1059,5635,59
166,517052,1.1,20081,10927,65
582,690838,0.3,256,3506,55
596,487992,0.1,161,750,45
597,433969,1.6,44725,9242,50
606,569577,0.2,1920,1201,40
607,571380,0.1,0,2337,45
611,214590,0.2,1856,1431,45
618,119090,0.0,873,1222,60
630,245719,0.0,444,171,45
631,638987,0.1,2098,920,60
57,457569,3.3,16152,20745,45
58,40383,3.4,20670,11523,40
59,444172,0.1,0,1047,40
60,463981,0.8,4107,6189,55
61,494521,3.5,6220,28613,55
62,242882,0.2,825,1887,50
63,620487,0.0,49,112,50
64,54469,0.1,741,1061,45
65,436893,0.0,74,165,44
66,575901,0.3,2563,1748,40
67,499604,2.0,4675,26056,64
68,201658,3.2,98857,25738,60
69,503139,4.6,226380,29874,60
70,222683,1.0,4849,12466,60
71,155408,0.2,1419,2162,50
72,496208,0.1,242,667,49
73,200785,0.3,3705,2296,50
74,111317,0.1,455,511,50
75,158499,0.0,572,341,50
76,614574,0.0,52,138,50
77,489888,0.0,37,213,49
78,560262,0.2,134,2363,74
79,444102,3.2,28319,27061,60
80,168636,0.0,0,162,55
81,561245,0.1,867,1123,60
566,483067,0.4,2606,3411,50
573,494928,0.2,166,1006,45
608,523700,0.1,2208,1176,50
615,230650,0.0,493,353,45
82,200720,6.8,21164,33449,50
83,507433,0.1,370,631,45
84,432830,1.7,1180,43688,55
85,444765,0.1,50,893,49
86,249231,2.2,16769,18536,55
87,191866,4.9,30388,54205,45
88,607464,9.0,29981,68713,46
89,194010,0.2,197,1206,45
90,472713,0.1,199,457,45
92,570241,0.0,69,165,45
93,513086,0.1,243,414,45
94,513418,3.9,17012,46760,60
95,533463,0.7,794,12689,64
96,440089,0.5,3303,2491,55
97,207283,0.1,19,2709,55
98,204580,1.7,92118,18494,50
99,543295,0.0,15,23,50
100,244858,0.0,253,234,50
102,508395,0.8,503,9340,49
103,183656,0.0,21,426,50
105,444180,0.1,450,1567,60
106,502500,11.8,13920,189461,79
107,593174,1.1,12645,8962,45
108,75115,0.4,1832,3751,55
565,513545,13.9,76669,181568,57
620,613804,0.1,1145,1369,45
109,489639,22.2,131381,100164,45
111,49262,4.3,26820,19144,40
113,231416,1.8,3557,14160,44
114,204120,0.3,1224,1609,45
115,465730,20.1,324098,68482,48
116,83299,1.3,9485,5276,45
117,550090,0.0,100,160,45
118,223434,0.1,0,1445,45
119,451490,0.0,126,193,45
120,454490,0.1,552,612,50
121,451340,0.0,53,333,59
122,592031,0.0,24,514,59
123,532529,1.0,809,27294,60
124,60307,16.3,169152,103256,56
125,463067,0.6,691,10997,55
126,219249,0.1,620,931,55
127,514254,4.9,54688,54328,50
128,536916,0.0,0,29,50
129,509416,0.4,1149,3745,54
130,467779,0.3,51,13242,50
132,597320,0.0,0,400,45
133,549074,0.0,0,15,50
134,556637,0.3,1515,2018,45
135,700308,0.1,289,643,49
137,608181,0.0,51,87,55
138,647850,0.5,8897,4442,55
139,487117,0.0,259,368,50
328,222694,0.2,850,1508,50
504,610799,3.0,67434,19780,50
594,538007,0.2,1857,3282,60
600,612855,0.0,98,188,50
605,611695,2.8,104210,31597,45
614,512123,0.0,266,407,45
624,519324,0.0,0,34,50
639,592984,0.0,374,121,55
652,471551,0.0,87,34,55
28,98980,5.0,71161,29841,50
40,244850,29.1,509343,78230,76
101,56979,0.0,112,382,49
136,50175,0.8,3884,8703,59
140,215059,1.0,0,29899,49
141,508479,0.0,0,77,50
142,225796,7.8,30410,54747,54
143,180736,0.1,0,987,55
144,482609,1.1,4848,8987,50
145,444463,0.1,5077,1190,50
146,242880,0.0,0,176,45
148,551210,0.9,29835,8770,45
149,460028,1.1,3330,13466,49
150,574458,0.0,0,720,45
151,577016,0.4,3211,2630,45
152,620109,1.1,354,19959,54
154,244851,22.8,407798,72655,96
156,247632,1.3,15285,9897,65
157,624773,0.8,2703,9241,64
158,463936,0.0,186,334,59
159,486672,1.6,1169,28462,54
161,514356,0.2,4967,2515,50
163,491007,0.1,0,2930,45
164,593117,0.0,119,415,54
165,475168,72.5,223616,71900,77
168,499309,0.3,0,6066,50
169,567119,0.4,5086,3743,45
170,503037,0.2,1671,1833,50
200,437499,8.2,34572,47660,60
560,549939,0.1,175,483,45
561,622758,0.0,141,130,45
568,543158,0.1,441,951,55
583,498444,0.2,376,1304,49
91,231065,0.1,395,427,45
104,428580,0.1,350,896,49
110,472739,1.0,2898,9113,45
171,484389,1.2,0,11635,40
172,110690,0.4,156,1356,45
173,461102,8.8,72300,46169,40
174,436761,0.4,0,6790,40
175,451284,11.0,18952,79696,40
176,173878,0.7,1169,2600,40
177,465390,0.0,74,414,40
178,80178,0.1,411,484,40
179,204813,0.0,178,215,40
180,220583,0.1,222,1174,40
181,577411,0.0,0,274,40
182,539142,0.8,2119,3378,40
183,480457,0.1,566,1006,50
184,168144,0.1,326,1425,50
185,501459,0.1,150,679,49
186,241293,0.1,139,561,54
187,439668,0.0,60,174,49
188,226965,0.1,42,870,54
189,684268,0.3,863,1693,45
190,469272,0.1,133,824,55
191,492498,0.1,0,2180,45
192,629397,0.4,0,4884,45
193,176412,0.1,97,1227,54
194,230730,0.8,7059,7490,50
195,218997,0.8,3456,8011,50
196,551262,0.0,0,82,50
197,549653,0.0,0,264,45
492,210156,0.7,4171,5471,55
575,661888,0.2,366,1893,49
584,196100,0.1,95,748,54
599,627221,0.1,801,984,50
623,79602,0.4,17762,3659,40
42,485337,0.0,650,639,55
153,220362,0.1,3157,1270,45
198,172649,1.9,15624,9721,50
199,121709,0.1,336,601,45
202,427623,0.7,4536,5053,50
203,651426,0.2,1406,2475,49
204,244723,5.8,124436,23648,45
205,218364,0.0,0,495,45
206,515621,0.0,33,423,44
207,242313,0.1,373,571,44
208,232185,0.9,122,21719,63
210,496221,0.9,5354,6282,55
211,488024,0.4,15449,3897,55
212,108413,8.8,16766,62285,45
213,152551,0.1,204,656,49
214,209400,0.3,8322,3075,50
215,489706,0.0,0,189,50
216,606921,0.0,0,720,50
217,536694,0.0,51,416,49
218,438464,0.1,314,597,49
219,450542,0.0,54,65,49
220,590014,0.0,0,9,45
221,672492,0.1,609,661,45
222,247412,0.5,5842,4854,60
223,231747,1.9,219,45042,64
224,205533,0.7,16461,5053,55
225,660392,0.0,0,0,50
241,433154,0.1,291,1084,54
555,169593,1.8,3046,4761,40
577,223723,0.3,358,1995,45
588,570794,0.2,7065,2110,50
595,559152,0.0,75,111,50
633,605972,0.0,333,81,45
643,172850,0.4,18954,2613,45
644,450063,0.0,1107,272,50
647,533646,0.0,291,71,55
21,128295,0.1,66,794,49
209,242898,0.1,747,1305,59
226,111234,8.6,39012,41476,55
227,229600,0.0,246,274,50
228,138001,0.0,186,249,45
229,17761,11.3,99176,53999,60
230,480455,1.9,20531,11836,55
231,106611,0.9,783,9706,49
232,512462,0.3,418,2641,49
233,224967,1.9,35950,19758,45
234,243571,0.0,0,526,45
235,499300,0.1,0,2133,40
236,215413,4.5,73769,53741,65
238,114283,0.4,10380,3899,65
239,232928,0.1,1716,2620,60
242,550615,0.5,25868,6246,55
243,502697,0.1,389,776,50
244,609873,0.4,8118,5423,50
245,496661,0.0,156,300,54
246,513466,0.0,372,593,50
247,244860,0.2,1013,1194,55
248,486385,1.1,0,42258,54
249,586309,5.6,148065,61649,56
649,154043,0.2,9076,1641,45
654,629068,0.1,5718,1052,45
250,80201,3.0,12180,18724,45
251,86873,1.2,4902,3787,40
252,505079,0.1,0,1243,40
253,174874,0.1,1258,1645,50
254,169528,1.5,3014,14750,45
255,246301,0.0,61,344,45
256,167074,0.2,118,1382,44
257,232892,0.7,1337,5551,45
258,166477,0.9,4063,8892,45
261,153133,0.8,1484,8940,55
262,209289,0.3,564,2955,54
263,560552,0.0,171,679,54
264,477555,0.3,1506,3570,55
265,207189,0.3,451,2904,50
266,76357,0.0,19,33,50
268,577725,1.1,50892,17277,55
269,184349,0.3,177,2457,45
270,153366,1.2,2471,9222,45
271,244042,0.5,2090,4522,54
272,631786,6.3,23013,45358,45
569,551466,4.2,26426,60011,60
570,571779,0.2,1020,1147,55
580,463210,0.1,209,505,50
610,547686,0.1,425,856,40
626,616069,0.4,8985,4552,45
635,551050,0.0,177,47,50
636,500033,0.0,100,40,50
650,442299,0.0,183,61,45
240,490094,0.0,244,136,50
273,167825,1.5,5726,5629,40
274,105666,0.1,91,582,45
275,494950,0.0,0,45,40
276,444307,0.0,0,128,40
277,108416,6.2,161985,35738,41
278,501902,0.1,82,716,40
279,146426,11.4,203973,42899,41
280,193278,0.6,4085,2198,40
281,433590,0.1,0,1154,40
282,232351,1.3,27989,7231,40
283,449428,0.0,0,82,40
284,661800,0.1,509,624,40
285,160817,0.1,306,736,40
286,540324,0.9,16086,6361,50
287,232905,0.0,0,1814,50
288,171270,0.4,2110,2974,45
289,101282,0.5,748,5777,45
290,243413,5.2,89239,47584,45
291,465525,0.0,71,79,45
292,208481,0.0,204,213,49
293,490161,0.0,0,35,50
294,553783,0.1,385,710,45
295,169432,2.0,13840,24054,55
296,213292,0.0,447,609,50
297,470294,0.0,73,192,45
298,500957,0.2,0,2529,45
299,534392,0.0,0,351,45
340,462635,0.0,123,105,50
556,169359,2.0,2808,11725,40
563,445028,0.0,113,243,50
572,473284,9.4,154085,35773,46
574,552946,0.1,312,522,49
576,608227,0.1,386,602,50
585,597462,0.6,1134,2712,40
586,606930,7.4,195284,35538,40
589,469266,0.0,115,173,50
617,490884,0.0,244,126,50
632,626751,0.0,2606,769,50
637,631000,0.0,1997,477,50
638,496181,0.2,10346,2220,40
642,243951,0.0,599,166,55
645,647839,0.0,194,59,50
259,219924,14.8,20019,79291,40
267,212314,0.1,433,799,50
300,108813,0.4,159,1635,45
301,112520,4.2,14114,18496,40
302,50093,0.5,7378,2604,40
303,183015,0.5,331,2404,40
304,216616,3.1,8669,21869,40
305,455084,5.1,24395,35061,40
306,449429,1.2,1083,4802,40
307,222018,0.1,0,1604,40
308,176420,0.5,214,2138,40
309,501390,0.1,240,1171,50
310,241117,0.0,19,30,49
311,149929,0.0,0,30,50
312,231899,0.0,106,305,45
313,443261,0.2,296,2127,55
314,229164,0.0,0,218,49
315,531442,0.2,1155,1438,55
316,543968,1.7,16639,15707,55
317,222625,0.1,0,1253,50
318,481624,0.1,12,924,54
319,172453,0.0,0,57,50
320,147675,1.2,23416,11767,50
321,557012,3.4,51108,33982,45
322,462387,0.1,0,1099,50
323,461587,1.2,4749,8162,45
324,232457,0.0,70,328,49
554,546600,0.0,0,199,45
562,442967,0.3,563,2538,54
564,240514,0.6,2984,2824,45
571,216055,0.1,237,614,49
591,474120,0.8,15421,8610,55
592,572584,0.9,1698,3185,40
602,524180,0.0,0,764,45
619,218543,0.0,1615,581,50
640,431639,0.0,1487,400,55
260,153682,3.2,1993,75055,63
326,201595,0.4,0,4651,45
327,434752,0.9,2860,9199,50
329,214225,1.6,111,63328,44
330,226182,1.6,64591,11475,45
331,243526,0.1,637,306,45
332,220627,1.5,13117,11011,45
333,437738,0.0,0,26,45
334,522047,3.5,59674,32663,50
335,466525,2.8,17218,28700,60
336,435997,0.3,1174,3447,59
337,427637,0.6,653,6510,54
338,199598,1.1,1592,9372,55
339,180135,0.1,444,1095,49
341,492859,0.0,0,339,50
342,221399,0.0,0,9,50
343,200617,0.1,472,1204,50
344,486520,0.0,8,35,50
345,248056,0.2,3735,1820,49
346,177815,23.6,58634,259989,60
347,174594,0.5,3511,4366,54
348,235826,0.1,0,1052,50
349,565297,0.1,502,641,45
385,432720,5.4,38146,27708,50
598,173774,0.0,1215,617,45
603,643970,0.1,866,708,40
604,592740,0.1,2363,1462,45
625,97846,0.2,4061,1329,40
629,155465,0.5,15075,2881,40
641,437497,0.0,192,59,45
648,587982,0.0,586,233,50
350,116535,3.8,23126,17422,55
351,449027,0.1,408,1375,49
352,155503,1.1,2278,4631,40
353,586268,0.0,0,126,40
354,432987,0.0,371,223,40
355,464353,0.2,777,716,40
356,97032,17.2,50356,76799,65
357,216094,2.5,2946,55973,54
358,544877,2.8,7069,20352,54
359,171287,0.0,52,147,50
360,492777,0.0,55,123,50
361,519440,0.1,548,1003,40
362,606702,2.7,27143,19877,50
363,647681,0.0,112,308,40
364,214285,0.1,212,955,49
365,489580,0.1,0,1410,40
366,494595,8.3,9170,149258,74
367,243298,14.4,588020,77496,72
368,424876,38.3,91276,346473,70
369,611922,0.6,1102,16393,58
370,223541,0.1,12,972,54
371,441266,1.4,3526,26096,59
372,243016,1.4,5815,14201,54
373,206915,0.0,0,271,55
374,158983,0.1,385,808,50
375,591386,0.0,328,474,49
376,535928,0.0,0,19,50
377,551499,1.2,10990,18846,65
378,491501,0.2,657,1748,45
379,219168,21.0,426987,54562,91
380,510663,0.1,363,1627,74
381,514514,0.0,94,220,50
382,500058,0.1,4872,1577,45
383,444884,0.0,0,1295,54
579,445087,2.3,23860,11237,54
627,482616,1.8,66127,25914,80
155,448047,3.2,22533,32243,69
237,440993,9.9,29910,195020,59
384,204936,7.7,21200,46112,55
386,122074,0.0,89,159,45
387,472769,14.7,4326,373499,65
388,209036,18.6,63028,67161,60
389,465351,1.0,1594,7077,59
390,171314,1.8,7224,10543,55
391,477424,19.9,211095,82974,56
392,448514,0.5,800,7609,53
393,578153,1.6,4300,8717,55
394,494307,0.0,0,44,50
395,477064,0.2,647,2776,45
396,616222,0.0,51,199,45
397,437730,17.7,24706,178827,84
398,209244,4.7,12149,118517,70
399,466052,30.2,208083,220403,78
400,248875,0.8,190,9590,74
402,220566,0.0,0,68,65
404,433036,0.0,0,403,60
406,91651,0.1,324,950,54
407,575204,0.0,0,284,49
408,155405,0.0,0,42,50
409,590039,0.1,0,2442,45
410,649208,0.0,0,281,49
411,223094,71.3,105591,75456,155
481,215379,4.6,11939,53747,63
587,106921,0.0,88,175,50
616,637238,0.2,2774,2845,55
621,616288,0.1,2683,1652,45
622,554054,0.2,3325,2050,40
628,624777,0.0,228,133,60
653,595480,0.0,2240,560,45
43,166989,1.8,5108,23557,59
131,535301,0.1,622,1685,50
162,532605,0.7,2700,10580,49
325,59735,0.0,167,251,45
412,465247,12.2,7773,136662,50
413,451302,0.0,0,103,45
