observed_utc,gw,source,team_abbr,kind,player,pct,news
2026-09-16T05:09:27.680554+00:00,5,ffscout,ARS,out,Saliba,,
2026-09-16T05:09:27.680554+00:00,5,ffscout,ARS,doubt,Mosquera,75,
2026-09-16T05:09:27.680554+00:00,5,ffscout,ARS,doubt,White,75,
2026-09-16T05:09:27.680554+00:00,5,ffscout,ARS,news,,,"Despite appearing to limp down the tunnel after full-time on Wednesday, Ben White is, according to his manager, ""fine"" for Arsenal's clash with Sunderland this weekend. The Gunners have emerged from their clash with Napoli unscathed, indeed. As for existing issues, William Saliba (back) remains out, but Cristhian Mosquera (muscle) isn't too far away, with Arteta saying he could be back for ""this game or the next one"". Jurrien Timber (groin) is already back in training, too, with a return to action seemingly imminent for him - although you'd imagine he'll be coming off the bench at first after so long out. Midweek breathers for the likes of Riccardo Calafiori, Christos Tzolis, Myles Lewis-Skelly and Kai Havertz suggest that they'll return to the side this weekend but we're at a relatively early stage of the season to be discussing fatigue, and there could still be some horses-for-courses tweaks regardless of midweek minutes. Could Bruno Guimaraes be needed in the engine room, for instance, to combat Sunderland's physicality? If none of White, Timber or Mosquera are able to start (which seems less likely now), then Piero Hincapie may be brought into the back four, or we may see someone like Martin Zubimendi moonlighting at full-back. Bukayo Saka was occasionally handled carefully by Arteta in three-game weeks last season, so after two successive starts for the winger this week, it's not outside of the realm of possibility that Noni Madueke starts this one. Saka did, at least, c"
2026-09-16T05:09:27.680554+00:00,5,ffscout,AVL,out,Goretzka,,
2026-09-16T05:09:27.680554+00:00,5,ffscout,AVL,out,Madjo,,
2026-09-16T05:09:27.680554+00:00,5,ffscout,AVL,out,Mvom Onana,,
2026-09-16T05:09:27.680554+00:00,5,ffscout,AVL,doubt,Cash,75,
2026-09-16T05:09:27.680554+00:00,5,ffscout,AVL,doubt,Maatsen,25,
2026-09-16T05:09:27.680554+00:00,5,ffscout,AVL,doubt,Torres,25,
2026-09-16T05:09:27.680554+00:00,5,ffscout,AVL,news,,,"Brian Madjo (unknown), Leon Goretzka (knee) and Amadou Onana (knee) remain out, while Joao Gomes serves the final match of a three-game ban. Matty Cash will also have to be assessed after missing Tuesday's Champions League win over Club Brugge with a minor issue. In better news, Johan Manzambi (knee) has returned to training this week and could feature, likely as a substitute. Aaron Wan-Bissaka will be on standby to deputise for Cash if needed, while we may see Pau Torres come in for Tyrone Mings, given that Liam Delap is less of a physical menace than Oli McBurnie was last weekend. Unai Emery was asked about his reticence to use his summer signings so far this season, and the likelihood is that a lot of them - such as Matteo Ruggeri, Alejandro Garnacho, Ibrahim Mbaye and Taylor Harwood-Bellis - will instead feature in the EFL Cup next Wednesday."
2026-09-16T05:09:27.680554+00:00,5,ffscout,BOU,out,Adli,,
2026-09-16T05:09:27.680554+00:00,5,ffscout,BOU,out,Araujo,,
2026-09-16T05:09:27.680554+00:00,5,ffscout,BOU,out,Kroupi,,
2026-09-16T05:09:27.680554+00:00,5,ffscout,BOU,out,Milosavljevic,,
2026-09-16T05:09:27.680554+00:00,5,ffscout,BOU,news,,,"Amine Adli (calf), Eli Kroupi (foot), Veljko Milosavljevic (knee) and Julian Araujo (thigh) are on the medium-term injury list, but Bournemouth have no fresh fitness concerns. Marco Rose has made only one starting XI change across the first three Gameweeks, bringing in Tyler Adams - who was always likely to return once deemed fit enough - for Lewis Cook at Newcastle. There is a fourth central midfielder gunning for a place, however: midweek hat-trick hero Ryan Christie. While it seems less likely that he'd oust Adams, and definitely not Alex Scott, Rose could play him further forward in the '10', with Justin Kluivert having had a poor start to the campaign. Kluivert, indeed, played an hour in midweek, when most of the regulars were rested. It may all hinge on whether Christie is fit enough for two successive starts, as the Scotland international had a disrupted pre-season."
2026-09-16T05:09:27.680554+00:00,5,ffscout,BRE,out,Collins,,
2026-09-16T05:09:27.680554+00:00,5,ffscout,BRE,out,Dasilva,,
2026-09-16T05:09:27.680554+00:00,5,ffscout,BRE,out,Furo,,
2026-09-16T05:09:27.680554+00:00,5,ffscout,BRE,out,Jensen,,
2026-09-16T05:09:27.680554+00:00,5,ffscout,BRE,out,Milambo,,
2026-09-16T05:09:27.680554+00:00,5,ffscout,BRE,out,van den Berg,,
2026-09-16T05:09:27.680554+00:00,5,ffscout,BRE,news,,,"Nathan Collins will be out until after the September international break with the calf issue he picked up last weekend. Mathias Jensen, missing for the last two matches, is also probably looking at October for a return to action, along with Sepp van den Berg (groin) and Josh Dasilva (hamstring). Antoni Milambo (knee), meanwhile, will feature for the B team over the coming weeks as he builds fitness following a year out. Jannik Schuster is set to come in for Collins, while there's a decent chance that we'll see Jaidon Anthony oust Dango Ouattara after the latter was hooked at half-time last weekend. So too were Mamadou Sangare and Michael Kayode but, after strong starts to the season (especially from the former), it'd be harsh in the extreme if the pair were jettisoned for Yehor Yarmoliuk and Aaron Hickey. With this being a tricky-ish away game, Keith Andrews might instead be tempted to introduce Yarmoliuk for Mikkel Damsgaard, even if such a move would come at the cost of engine-room creativity. Elsewhere, it'll be interesting to see how long Keane Lewis-Potter can stave off the challenge of El Hadji Malick Diouf at left-back."
2026-09-16T05:09:27.680554+00:00,5,ffscout,BHA,out,Ferguson,,
2026-09-16T05:09:27.680554+00:00,5,ffscout,BHA,out,Hinshelwood,,
2026-09-16T05:09:27.680554+00:00,5,ffscout,BHA,out,Minteh,,
2026-09-16T05:09:27.680554+00:00,5,ffscout,BHA,out,Mitoma,,
2026-09-16T05:09:27.680554+00:00,5,ffscout,BHA,out,Tzimas,,
2026-09-16T05:09:27.680554+00:00,5,ffscout,BHA,out,Wieffer,,
2026-09-16T05:09:27.680554+00:00,5,ffscout,BHA,out,Yohanna,,
2026-09-16T05:09:27.680554+00:00,5,ffscout,BHA,doubt,Azeez,75,
2026-09-16T05:09:27.680554+00:00,5,ffscout,BHA,doubt,Rutter,75,
