season,gw,position,player,team,opponent,home,prediction
2025-26,4,DEF,Tyrick Mitchell,Crystal Palace,,True,3.240938663482666
2025-26,4,DEF,Trai Hume,Sunderland,,False,3.1825857162475586
2025-26,4,DEF,Michael Kayode,Brentford,,True,3.114352226257324
2025-26,4,DEF,Pedro Porro Sauceda,Spurs,,False,3.1061160564422607
2025-26,4,DEF,JurriÃ«n Timber,Arsenal,,True,3.096825122833252
2025-26,4,DEF,Reinildo Mandava,Sunderland,,False,3.0940985679626465
2025-26,4,DEF,Daniel MuÃ±oz MejÃ­a,Crystal Palace,,True,3.09200119972229
2025-26,4,DEF,Joachim Andersen,Fulham,,True,3.0825510025024414
2025-26,4,DEF,Quilindschy Hartman,Burnley,,True,3.0799560546875
2025-26,4,DEF,Kenny Tete,Fulham,,True,3.0729851722717285
2025-26,4,DEF,Djed Spence,Spurs,,False,3.0626986026763916
2025-26,4,DEF,Virgil van Dijk,Liverpool,,False,3.0329461097717285
2025-26,4,DEF,Nordi Mukiele,Sunderland,,False,3.0326857566833496
2025-26,4,DEF,Pascal Struijk,Leeds,,False,3.0311279296875
2025-26,4,DEF,Cristian Romero,Spurs,,False,3.0111141204833984
2025-26,4,DEF,Riccardo Calafiori,Arsenal,,True,3.010256767272949
2025-26,4,DEF,Ibrahima KonatÃ©,Liverpool,,False,3.0077924728393555
2025-26,4,DEF,Ezri Konsa Ngoyo,Aston Villa,,False,2.9862558841705322
2025-26,4,DEF,Hugo Bueno LÃ³pez,Wolves,,False,2.964360237121582
2025-26,4,DEF,Marcos Senesi BarÃ³n,Bournemouth,,True,2.9629218578338623
2025-26,4,DEF,Kieran Trippier,Newcastle,,True,2.9607977867126465
2025-26,4,DEF,Matty Cash,Aston Villa,,False,2.95481276512146
2025-26,4,DEF,Emmanuel Agbadou,Wolves,,False,2.9426376819610596
2025-26,4,DEF,Maxence Lacroix,Crystal Palace,,True,2.9368667602539062
2025-26,4,DEF,Gabriel Gudmundsson,Leeds,,False,2.929875135421753
2025-26,4,DEF,Micky van de Ven,Spurs,,False,2.924610137939453
2025-26,4,DEF,Dan Burn,Newcastle,,True,2.9222660064697266
2025-26,4,DEF,Adrien Truffert,Bournemouth,,True,2.9218578338623047
2025-26,4,DEF,Trevoh Chalobah,Chelsea,,False,2.9180784225463867
2025-26,4,DEF,Tino Livramento,Newcastle,,True,2.9151289463043213
